"ANO_ELEICAO";"SG_UF";"NM_URNA_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_CARGO";"ST_REELEICAO";"NR_IDADE_DATA_POSSE"
2018;"PA";"YORANN COSTA";"SOLIDARIEDADE";"MASCULINO";"SUPERIOR INCOMPLETO";"DEPUTADO FEDERAL";"N";23
2018;"GO";"LUIZ DOURADO";"PATRI";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";60
2018;"BA";"ROBERTO JOSÉ";"REDE";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO FEDERAL";"N";46
2018;"PA";"REGINA BARATA";"PT";"FEMININO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";58
2018;"SP";"MARY GIRON";"PRP";"FEMININO";"ENSINO MÉDIO COMPLETO";"DEPUTADO FEDERAL";"N";55
2018;"SP";"GI MEIRELLES";"PROS";"FEMININO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";46
2018;"PA";"ANA DO 17 DE ABRIL";"PHS";"FEMININO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";49
2018;"SP";"ALEXANDRE PADILHA";"PT";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO FEDERAL";"N";47
2018;"SP";"ADMIR FERRO";"PSB";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";63
2018;"BA";"BRITES PORTUGAL";"PATRI";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO FEDERAL";"N";61
